timestamp,score,status
2026-04-24 00:25:25,0,absent
2026-04-24 00:25:28,0,absent
2026-04-24 00:25:28,0,absent
2026-04-24 00:25:28,0,absent
2026-04-24 00:25:29,0,absent
2026-04-24 00:25:29,0,absent
2026-04-24 00:25:29,0,absent
2026-04-24 00:25:30,0,absent
2026-04-24 00:25:30,0,absent
2026-04-24 00:25:30,0,absent
2026-04-24 00:25:31,0,absent
2026-04-24 00:25:31,0,absent
2026-04-24 00:25:31,0,absent
2026-04-24 00:25:31,0,absent
2026-04-24 00:25:32,0,absent
2026-04-24 00:25:32,0,absent
2026-04-24 00:25:32,0,absent
2026-04-24 00:25:32,0,absent
2026-04-24 00:25:33,0,absent
2026-04-24 00:25:33,0,absent
2026-04-24 00:25:33,0,absent
2026-04-24 00:25:33,0,absent
2026-04-24 00:25:34,0,absent
2026-04-24 00:25:34,0,absent
2026-04-24 00:25:34,0,absent
2026-04-24 00:25:34,0,absent
2026-04-24 00:25:35,0,absent
2026-04-24 00:25:35,0,absent
2026-04-24 00:25:35,0,absent
2026-04-24 00:25:36,0,absent
2026-04-24 00:25:36,0,absent
2026-04-24 00:25:36,0,absent
2026-04-24 00:25:36,0,absent
2026-04-24 00:25:37,0,absent
2026-04-24 00:25:37,0,absent
2026-04-24 00:25:37,0,absent
2026-04-24 00:25:37,0,absent
2026-04-24 00:25:38,0,absent
2026-04-24 00:25:38,0,absent
2026-04-24 00:25:38,0,absent
2026-04-24 00:25:38,0,absent
2026-04-24 00:25:39,0,absent
2026-04-24 00:25:39,0,absent
2026-04-24 00:25:39,0,absent
2026-04-24 00:25:39,0,absent
2026-04-24 00:25:40,0,absent
2026-04-24 00:25:40,0,absent
2026-04-24 00:25:40,0,absent
2026-04-24 00:25:40,0,absent
2026-04-24 00:25:41,0,absent
2026-04-24 00:25:41,0,absent
2026-04-24 00:25:41,0,absent
2026-04-24 00:25:42,0,absent
2026-04-24 00:25:42,0,absent
2026-04-24 00:25:42,0,absent
2026-04-24 00:25:43,0,absent
2026-04-24 00:25:43,0,absent
2026-04-24 00:25:43,0,absent
2026-04-24 00:25:43,0,absent
2026-04-24 00:25:44,0,absent
2026-04-24 00:25:44,0,absent
2026-04-24 00:25:44,0,absent
2026-04-24 00:25:44,0,absent
2026-04-24 00:25:45,0,absent
2026-04-24 00:25:45,0,absent
2026-04-24 00:25:45,0,absent
2026-04-24 00:25:45,0,absent
2026-04-24 00:25:46,0,absent
2026-04-24 00:25:46,0,absent
2026-04-24 00:25:46,0,absent
2026-04-24 00:25:47,0,absent
2026-04-24 00:25:47,0,absent
2026-04-24 00:25:47,0,absent
2026-04-24 00:25:47,0,absent
2026-04-24 00:25:48,0,absent
2026-04-24 00:25:48,0,absent
2026-04-24 00:25:48,0,absent
2026-04-24 00:25:48,0,absent
2026-04-24 00:25:49,0,absent
2026-04-24 00:25:49,0,absent
2026-04-24 00:25:49,0,absent
2026-04-24 00:25:49,0,absent
2026-04-24 00:25:50,0,absent
2026-04-24 00:25:50,0,absent
2026-04-24 00:25:50,0,absent
2026-04-24 00:25:50,0,absent
2026-04-24 00:25:51,0,absent
2026-04-24 00:25:51,0,absent
2026-04-24 00:25:51,0,absent
2026-04-24 00:25:51,0,absent
2026-04-24 00:25:52,0,absent
2026-04-24 00:25:52,0,absent
2026-04-24 00:25:52,0,absent
2026-04-24 00:25:52,0,absent
2026-04-24 00:25:53,0,absent
2026-04-24 00:25:53,0,absent
2026-04-24 00:25:53,0,absent
2026-04-24 00:25:54,0,absent
2026-04-24 00:25:54,0,absent
2026-04-24 00:25:54,0,absent
2026-04-24 00:25:54,0,absent
2026-04-24 00:25:55,0,absent
2026-04-24 00:25:55,0,absent
2026-04-24 00:25:55,0,absent
2026-04-24 00:25:55,0,absent
2026-04-24 00:25:56,0,absent
2026-04-24 00:25:56,0,absent
2026-04-24 00:25:56,0,absent
2026-04-24 00:25:56,0,absent
2026-04-24 00:25:57,0,absent
2026-04-24 00:25:57,0,absent
2026-04-24 00:25:57,0,absent
2026-04-24 00:25:57,0,absent
2026-04-24 00:25:58,0,absent
2026-04-24 00:25:58,0,absent
2026-04-24 00:25:58,0,absent
2026-04-24 00:25:59,0,absent
2026-04-24 00:25:59,0,absent
2026-04-24 00:25:59,0,absent
2026-04-24 00:25:59,0,absent
2026-04-24 00:26:00,0,absent
2026-04-24 00:26:00,0,absent
2026-04-24 00:26:00,0,absent
2026-04-24 00:26:01,0,absent
2026-04-24 00:26:01,0,absent
2026-04-24 00:26:01,0,absent
2026-04-24 00:26:01,0,absent
2026-04-24 00:26:02,0,absent
2026-04-24 00:26:02,0,absent
2026-04-24 00:26:02,0,absent
2026-04-24 00:26:02,0,absent
2026-04-24 00:26:03,0,absent
2026-04-24 00:26:03,0,absent
2026-04-24 00:26:03,0,absent
2026-04-24 00:26:03,0,absent
